RowNumber,P_hat_test,Exited
4816,0.942359758,0
9588,0.933641943,0
3532,0.926518176,1
9556,0.91979149,1
7500,0.912152203,1
8489,0.897335609,1
7630,0.896919682,1
4464,0.894952892,1
7693,0.884695747,0
9748,0.880740965,1
4436,0.871023032,1
7009,0.870896797,1
7814,0.855719062,1
8157,0.852191849,0
4752,0.844139449,1
4564,0.842371837,1
4560,0.839755738,1
618,0.837809811,1
9333,0.835830402,1
3388,0.835449713,0
4397,0.833736688,0
417,0.833136189,1
4502,0.832511255,0
9310,0.830796191,0
6444,0.828421416,0
7852,0.828370758,1
421,0.827358076,1
9473,0.827100176,0
2778,0.826880216,1
314,0.824249665,0
5440,0.822620989,0
3367,0.820968733,0
372,0.819277773,0
6760,0.818833014,0
8189,0.818724209,0
4319,0.818428855,0
9603,0.81552298,1
6531,0.814841463,0
3647,0.814427819,1
3911,0.812922574,1
2191,0.81235868,1
8099,0.811234098,1
7734,0.810970273,1
9293,0.810647716,0
3941,0.808932312,1
4932,0.808679069,0
1791,0.802978233,0
1428,0.80083473,1
5577,0.799650202,1
777,0.79467877,1
5005,0.792263827,1
7259,0.792116609,1
2474,0.792048883,1
3111,0.790241779,1
7637,0.789385538,1
3992,0.789372338,1
599,0.7893612,1
2351,0.789009259,1
400,0.788395546,1
9011,0.788158206,1
2169,0.78427148,1
7437,0.783577925,1
1411,0.781446784,1
6813,0.778580038,1
6319,0.777961761,1
6582,0.775557495,1
3383,0.773983851,0
2107,0.773370346,1
1159,0.77277473,1
5790,0.770734225,1
2773,0.770604543,0
180,0.769171464,1
4265,0.767242503,1
7058,0.765304403,0
5291,0.762234387,1
6576,0.758583245,1
6198,0.758265406,1
1743,0.757338705,1
8769,0.757256109,1
9672,0.756203159,0
2615,0.753379836,1
3886,0.753379008,1
5069,0.751857636,0
2116,0.751175728,1
8712,0.750805165,0
2155,0.748432538,1
4014,0.747870834,1
4471,0.747513274,1
2496,0.747302394,1
5021,0.747273932,1
1254,0.746606147,0
4733,0.74613105,1
3560,0.744698029,1
632,0.744641178,1
6277,0.74425936,1
9479,0.743654696,1
5951,0.743164157,1
5958,0.742746559,0
9439,0.741191047,1
6722,0.739810087,0
9334,0.738342332,0
8218,0.73806806,0
7064,0.737848209,0
7809,0.737398864,1
2521,0.737273956,1
9207,0.735326451,1
4171,0.73525457,0
3034,0.73416676,0
4887,0.73372912,0
3720,0.733728272,1
2916,0.732074563,1
7801,0.730866787,1
3498,0.730622719,1
4591,0.729500884,0
5256,0.728132896,1
9647,0.727420317,1
9880,0.727007799,1
7143,0.726029181,1
8863,0.725419685,1
2660,0.724926897,1
9578,0.724736018,1
5369,0.724239237,1
3899,0.72382753,1
889,0.723585202,0
6710,0.723082575,1
4154,0.722546035,1
4524,0.719897283,0
8394,0.718397631,1
2455,0.717814709,1
5684,0.717744901,1
8222,0.717715172,1
3207,0.716697117,1
7318,0.716462591,1
6912,0.715518915,1
7214,0.715424487,1
767,0.715140949,0
2880,0.714708058,1
17,0.71346867,1
7827,0.713118584,1
610,0.712807129,0
1115,0.712093055,1
2275,0.712060907,1
59,0.710660747,1
1934,0.710427558,0
3692,0.710275274,0
5607,0.709087242,1
7804,0.709020389,0
4381,0.708703673,1
3230,0.707337527,1
4644,0.707228484,1
1658,0.705968848,1
8299,0.705196824,1
3120,0.704465743,1
5001,0.703847544,0
3097,0.70322327,1
7527,0.703046132,0
4314,0.700116358,0
2109,0.699237251,0
3794,0.698707394,1
4645,0.698347517,0
5824,0.697937737,1
8364,0.697293478,1
768,0.696217952,1
8216,0.69606121,1
585,0.695961154,1
2926,0.695847686,0
4257,0.695640508,0
4367,0.694943579,0
8485,0.694817552,1
7273,0.694010836,0
5133,0.693824119,0
8924,0.693249412,1
7773,0.69227643,1
953,0.692274339,0
6744,0.690644571,1
6520,0.690519752,1
3828,0.690283025,1
6367,0.689083128,0
8476,0.689060913,1
9694,0.688469642,1
1193,0.688354525,1
1647,0.687989663,1
3557,0.687591515,1
128,0.686204631,1
8604,0.68619208,1
9081,0.685962211,0
7605,0.685043789,1
3379,0.684984576,0
4893,0.684914516,1
3617,0.684764245,1
7768,0.684177654,1
9833,0.684030227,1
4185,0.683806896,1
7329,0.683627546,1
7139,0.682599065,1
7599,0.679439928,1
1994,0.679320674,1
6971,0.678250424,0
7534,0.677383967,1
311,0.676728377,0
6304,0.675683734,1
9039,0.675646016,1
6376,0.675462049,1
4660,0.675325454,0
5702,0.675223673,1
7267,0.674503948,1
253,0.674467133,0
9042,0.673666099,0
2434,0.673530875,0
2345,0.673014067,1
2221,0.672295066,0
2040,0.672125561,0
3181,0.672029244,1
857,0.672018044,1
6316,0.671983045,1
4833,0.67152522,0
4224,0.670848372,1
4198,0.668247825,1
2733,0.668206993,1
6730,0.668164965,1
2459,0.667848373,0
2136,0.667830477,1
7719,0.667266605,1
6832,0.667191386,1
5406,0.665702,0
9219,0.665605113,1
7085,0.665182304,1
4993,0.665020079,1
